Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
01/02/2019,819,962,0.85,"10,851.35","10,983.45","10,813.45","10,893.65"
04/02/2019,460,"1,387",0.33,"10,876.75","10,927.90","10,814.15","10,912.25"
05/02/2019,555,"1,274",0.44,"10,908.65","10,956.70","10,886.70","10,934.35"
06/02/2019,743,"1,047",0.71,"10,965.10","11,072.60","10,962.70","11,062.45"
07/02/2019,"1,037",760,1.36,"11,070.45","11,118.10","11,043.60","11,069.40"
08/02/2019,600,"1,211",0.5,"11,023.50","11,041.20","10,925.45","10,943.60"
11/02/2019,547,"1,299",0.42,"10,930.90","10,930.90","10,857.10","10,888.80"
12/02/2019,717,"1,077",0.67,"10,879.70","10,910.90","10,823.80","10,831.40"
13/02/2019,685,"1,116",0.61,"10,870.55","10,891.65","10,772.10","10,793.65"
14/02/2019,854,952,0.9,"10,786.10","10,792.70","10,718.75","10,746.05"
15/02/2019,642,"1,158",0.55,"10,780.25","10,785.75","10,620.40","10,724.40"
18/02/2019,583,"1,216",0.48,"10,738.65","10,759.90","10,628.40","10,640.95"
19/02/2019,"1,024",753,1.36,"10,636.70","10,722.85","10,585.65","10,604.35"
20/02/2019,"1,119",676,1.66,"10,655.45","10,752.70","10,646.40","10,735.45"
21/02/2019,"1,218",571,2.13,"10,744.10","10,808.85","10,721.50","10,789.85"
22/02/2019,"1,226",589,2.08,"10,782.70","10,801.55","10,758.40","10,791.65"
25/02/2019,"1,111",691,1.61,"10,813.25","10,887.10","10,788.05","10,880.10"
26/02/2019,610,"1,188",0.51,"10,775.30","10,888.75","10,729.30","10,835.30"
27/02/2019,849,955,0.89,"10,881.20","10,939.70","10,751.20","10,806.65"
28/02/2019,"1,076",697,1.54,"10,865.70","10,865.70","10,784.85","10,792.50"
01/03/2019,"1,432",380,3.77,"10,842.65","10,877.90","10,823.10","10,863.50"
05/03/2019,"1,540",336,4.58,"10,864.85","10,994.90","10,817.00","10,987.45"
